siren,date_cloture_exercice,ca,resultat_net,type_bilan,annee_cloture_exercice
383422086,2021-12-31,11820108.0,350599.0,C,2021
383422086,2020-12-31,0.0,118631.0,C,2020
383451267,2022-12-31,321174000.0,83708000.0,K,2022
383451267,2021-12-31,0.0,0.0,K,2021
383451267,2020-12-31,0.0,0.0,K,2020
383451267,2019-12-31,0.0,68355000.0,K,2019
383470937,2022-12-31,2228011000.0,244912000.0,C,2022
383470937,2021-12-31,2214223000.0,219634000.0,C,2021
383470937,2020-12-31,2100937000.0,155657000.0,C,2020
383470937,2019-12-31,2095153000.0,132635000.0,C,2019
383474814,2022-12-31,47054184000.0,1532742000.0,C,2022
383474814,2021-12-31,40019698000.0,1153253000.0,S,2021
383474814,2020-12-31,39036834000.0,-69276000.0,S,2020
383474814,2019-12-31,61404650000.0,-164468000.0,C,2019
383474889,2022-09-30,38939286.0,219982.0,C,2022
383474889,2021-09-30,35870129.0,266455.0,C,2021
383474889,2020-09-30,34626433.0,484748.0,C,2020
383474889,2019-09-30,33304675.0,1270583.0,C,2019
383475092,2022-12-31,2001089000.0,306378000.0,C,2022
383475092,2021-12-31,1933940000.0,336852000.0,C,2021
383475092,2020-12-31,1759628000.0,257825000.0,C,2020
383475092,2019-12-31,1977661.0,262503.0,C,2019
383481074,2020-12-31,5950609.0,20229.0,C,2020
383481074,2019-12-31,5183608.0,-235402.0,C,2019
383537784,2022-12-31,85385308.0,-20892157.0,C,2022
383537784,2021-12-31,77148694.0,-17537113.0,C,2021
383537784,2020-12-31,78876553.0,-12069707.0,C,2020
383537784,2019-12-31,117453475.0,-3021680.0,C,2019
383578432,2021-12-31,114036278.0,5152910.0,C,2021
383578432,2020-03-31,64481122.0,2108258.0,C,2019
383578432,2019-03-31,66051768.0,4467024.0,C,2018
383607090,2022-12-31,122984000.0,10446000.0,C,2022
383607090,2021-12-31,171493000.0,1423000.0,C,2021
383607090,2020-12-31,207824000.0,6928000.0,C,2020
383607090,2019-12-31,223408000.0,30950000.0,C,2019
383610623,2023-03-31,170800436.0,2008008.0,C,2022
383610623,2022-03-31,156566019.0,1901340.0,C,2021
383610623,2021-03-31,136550383.0,2660807.0,C,2020
383610623,2020-03-31,142090344.0,1715122.0,C,2019
383610623,2019-03-31,138791035.0,2287527.0,C,2018
383686839,2022-12-31,192235000.0,22664000.0,K,2022
383686839,2021-12-31,206961000.0,38513000.0,K,2021
383686839,2019-12-31,0.0,34719000.0,K,2019
383699048,2023-06-30,4701500000.0,63900000.0,K,2022
383699048,2022-06-30,4301000000.0,127800000.0,K,2021
383699048,2021-06-30,4022600000.0,73800000.0,K,2020
383699048,2020-06-30,3401100000.0,18100000.0,K,2019
383703873,2022-12-31,375716536.0,-46237390.0,C,2022
383703873,2021-12-31,321748178.0,-18957646.0,C,2021
383703873,2020-12-31,268246599.0,-29347749.0,C,2020
383703873,2019-12-31,304283829.0,-2068099.0,C,2019
383706397,2020-12-31,400968086.0,-33934638.0,C,2020
383706397,2019-12-31,572527346.0,8021894.0,C,2019
383870797,2022-12-31,108891594.0,912101.0,C,2022
383870797,2021-12-31,100039931.0,4683335.0,C,2021
383870797,2020-12-31,93403604.0,2006869.0,C,2020
383870797,2019-12-31,109426663.0,3243548.0,C,2019
383952470,2022-12-31,297198000.0,50956000.0,K,2022
383952470,2021-12-31,306097000.0,54704000.0,K,2021
383952470,2020-12-31,0.0,0.0,K,2020
383952470,2019-12-31,0.0,57237000.0,K,2019
383960135,2020-12-31,1500917000.0,66401000.0,C,2020
